Area,Age,Sex,Year,Value,Flags
Great Barrier Local Board Area,75-79 years,Male,2013,21,
Waiheke Local Board Area,70-74 years,Male,2013,225,
Manawatu District,40-44 years,Male,2013,888,
Queenstown-Lakes District,75-79 years,Male,2013,360,
Otara-Papatoetoe Local Board Area,60-64 years,Female,2013,1590,
Southland Region,20-24 years,Male,2013,3003,
Whangarei District,90-94 years,Male,2013,153,
Tasman District,90-94 years,Female,2013,159,
Selwyn District,5-9 years,Female,2013,1767,
Ashburton District,85-89 years,Male,2013,183,
Porirua City,25-29 years,Male,2013,1284,
Ashburton District,30-34 years,Male,2013,990,
Dunedin City,45-49 years,Male,2013,3855,
Franklin Local Board Area,55-59 years,Female,2013,2082,
Auckland Region,65-69 years,Male,2013,27294,
Hibiscus and Bays Local Board Area,60-64 years,Male,2013,2529,
Grey District,90-94 years,Male,2013,18,
Howick Local Board Area,90-94 years,Female,2013,345,
Far North District,85-89 years,Male,2013,276,
Dunedin City,70-74 years,Male,2013,2214,
Carterton District,60-64 years,Male,2013,279,
"Total, Territorial Authority areas",70-74 years,Male,2013,75219,
Gisborne Region,45-49 years,Male,2013,1374,
Ruapehu District,80-84 years,Female,2013,90,
Nelson City,75-79 years,Male,2013,663,
Far North District,80-84 years,Female,2013,585,
Manawatu District,95-99 years,Male,2013,6,
Northland Region,90-94 years,Male,2013,252,
Wellington Region,15-19 years,Male,2013,16737,
Taupo District,35-39 years,Male,2013,1053,
Opotiki District,65-69 years,Male,2013,249,
Selwyn District,90-94 years,Male,2013,30,
South Waikato District,30-34 years,Female,2013,609,
Stratford District,60-64 years,Female,2013,237,
Palmerston North City,20-24 years,Male,2013,3939,
Gore District,5-9 years,Female,2013,390,
Maungakiekie-Tamaki Local Board Area,15-19 years,Female,2013,2133,
Whangarei District,50-54 years,Female,2013,3039,
South Taranaki District,25-29 years,Male,2013,753,
Invercargill City,55-59 years,Female,2013,1716,
Hauraki District,10-14 years,Female,2013,606,
Bay of Plenty Region,85-89 years,Female,2013,2313,
Matamata-Piako District,85-89 years,Male,2013,189,
Opotiki District,80-84 years,Female,2013,96,
Palmerston North City,75-79 years,Male,2013,888,
Timaru District,45-49 years,Male,2013,1497,
Ashburton District,15-19 years,Male,2013,909,
Carterton District,5-9 years,Female,2013,288,
Gisborne District,15-19 years,Female,2013,1443,
Waimate District,60-64 years,Female,2013,267,
Waikato Region,0-4 years,Male,2013,15333,
Auckland Region,95-99 years,Female,2013,945,
Thames-Coromandel District,95-99 years,Female,2013,24,
Tararua District,40-44 years,Male,2013,528,
Napier City,85-89 years,Female,2013,591,
Taranaki Region,95-99 years,Male,2013,36,
Ruapehu District,60-64 years,Female,2013,408,
Wellington City,80-84 years,Male,2013,984,
Manawatu District,45-49 years,Female,2013,1110,
Papakura Local Board Area,75-79 years,Male,2013,381,
Hauraki District,60-64 years,Female,2013,639,
Hastings District,55-59 years,Male,2013,2226,
South Waikato District,5-9 years,Female,2013,813,
Whau Local Board Area,100 years and over,Male,2013,0,
South Waikato District,20-24 years,Female,2013,672,
Hastings District,80-84 years,Male,2013,636,
Mangere-Otahuhu Local Board Area,90-94 years,Male,2013,24,
Waimate District,0-4 years,Male,2013,213,
Marlborough District,35-39 years,Female,2013,1350,
Wairoa District,0-4 years,Female,2013,312,
South Waikato District,85-89 years,Female,2013,105,
Dunedin City,75-79 years,Female,2013,1881,
Wanganui District,45-49 years,Male,2013,1371,
Palmerston North City,5-9 years,Male,2013,2682,
Taupo District,20-24 years,Female,2013,1008,
Area Outside Region,50-54 years,Female,2013,36,
Canterbury Region,95-99 years,Male,2013,156,
Southland Region,50-54 years,Male,2013,3657,
Hamilton City,25-29 years,Male,2013,5316,
Taupo District,80-84 years,Male,2013,339,
Manawatu-Wanganui Region,45-49 years,Male,2013,7149,
Dunedin City,5-9 years,Female,2013,3141,
Opotiki District,50-54 years,Male,2013,327,
Napier City,15-19 years,Female,2013,2043,
Invercargill City,0-4 years,Male,2013,1839,
Tauranga City,90-94 years,Female,2013,534,
Manawatu District,55-59 years,Female,2013,933,
Waimakariri District,55-59 years,Male,2013,1680,
Nelson Region,50-54 years,Female,2013,1980,
Rotorua District,65-69 years,Male,2013,1578,
Wairoa District,5-9 years,Male,2013,318,
Wairoa District,15-19 years,Male,2013,255,
Whau Local Board Area,60-64 years,Female,2013,1665,
South Taranaki District,10-14 years,Male,2013,963,
Rodney Local Board Area,20-24 years,Male,2013,1314,
Hawke's Bay Region,100 years and over,Female,2013,12,
Ruapehu District,65-69 years,Male,2013,330,
Stratford District,10-14 years,Female,2013,342,
Invercargill City,70-74 years,Female,2013,1035,
Waikato Region,70-74 years,Female,2013,8007,
Wellington Region,100 years and over,Male,2013,15,
Marlborough Region,45-49 years,Female,2013,1674,
Wellington City,35-39 years,Male,2013,7140,
"Total, Territorial Authority areas",60-64 years,Male,2013,118866,
Henderson-Massey Local Board Area,10-14 years,Female,2013,3678,
Palmerston North City,50-54 years,Female,2013,2772,
Auckland,10-14 years,Male,2013,49296,
Masterton District,25-29 years,Female,2013,558,
Waimakariri District,65-69 years,Female,2013,1479,
Stratford District,90-94 years,Female,2013,27,
Southland District,45-49 years,Male,2013,1173,
Dunedin City,60-64 years,Male,2013,3468,
Rotorua District,50-54 years,Male,2013,2376,
Henderson-Massey Local Board Area,65-69 years,Male,2013,1749,
Northland Region,30-34 years,Female,2013,3699,
Waitomo District,95-99 years,Male,2013,3,
Waitaki District,40-44 years,Male,2013,612,
Hawke's Bay Region,15-19 years,Female,2013,5061,
Area outside territorial authority,40-44 years,Male,2013,78,
Area Outside Region,75-79 years,Male,2013,6,
Whakatane District,35-39 years,Female,2013,1017,
Waikato District,75-79 years,Female,2013,588,
Auckland Region,0-4 years,Female,2013,50172,
South Wairarapa District,85-89 years,Male,2013,48,
Taranaki Region,45-49 years,Female,2013,3819,
Henderson-Massey Local Board Area,0-4 years,Female,2013,4611,
Area outside territorial authority,60-64 years,Female,2013,18,
Invercargill City,40-44 years,Male,2013,1674,
Ashburton District,100 years and over,Male,2013,0,
Franklin Local Board Area,70-74 years,Female,2013,1221,
Thames-Coromandel District,75-79 years,Male,2013,660,
"Total, Territorial Authority areas",10-14 years,Male,2013,147336,
Kaipatiki Local Board Area,10-14 years,Female,2013,2244,
Auckland,35-39 years,Male,2013,45402,
Ruapehu District,10-14 years,Female,2013,417,
Gisborne Region,90-94 years,Female,2013,129,
Hastings District,25-29 years,Male,2013,2301,
Bay of Plenty Region,40-44 years,Female,2013,10032,
Opotiki District,60-64 years,Female,2013,294,
Far North District,10-14 years,Female,2013,2082,
Papakura Local Board Area,30-34 years,Male,2013,1305,
Manawatu-Wanganui Region,55-59 years,Male,2013,6909,
Gore District,70-74 years,Male,2013,264,
Waitomo District,45-49 years,Female,2013,327,
Invercargill City,60-64 years,Female,2013,1467,
Rodney Local Board Area,95-99 years,Female,2013,33,
Far North District,15-19 years,Male,2013,1857,
West Coast Region,45-49 years,Male,2013,1374,
Whakatane District,90-94 years,Female,2013,84,
Waiheke Local Board Area,40-44 years,Female,2013,357,
Waitakere Ranges Local Board Area,10-14 years,Male,2013,1824,
Western Bay of Plenty District,100 years and over,Male,2013,3,
Western Bay of Plenty District,25-29 years,Male,2013,816,
Howick Local Board Area,60-64 years,Male,2013,3279,
Whau Local Board Area,70-74 years,Female,2013,1251,
Papakura Local Board Area,45-49 years,Female,2013,1647,
Waimate District,70-74 years,Female,2013,234,
Franklin Local Board Area,100 years and over,Male,2013,0,
Central Otago District,90-94 years,Female,2013,60,
Waitemata Local Board Area,20-24 years,Female,2013,6999,
Kawerau District,50-54 years,Male,2013,201,
Dunedin City,40-44 years,Female,2013,4305,
Whau Local Board Area,30-34 years,Male,2013,2700,
Rangitikei District,50-54 years,Male,2013,558,
Wairoa District,40-44 years,Male,2013,204,
Waitomo District,75-79 years,Male,2013,108,
Central Hawke's Bay District,85-89 years,Male,2013,57,
Tasman District,95-99 years,Male,2013,15,
Clutha District,20-24 years,Female,2013,393,
Kawerau District,10-14 years,Female,2013,237,
Wanganui District,55-59 years,Male,2013,1389,
South Wairarapa District,25-29 years,Female,2013,171,
Masterton District,15-19 years,Male,2013,858,
Whakatane District,10-14 years,Female,2013,1299,
Wanganui District,15-19 years,Female,2013,1467,
Central Hawke's Bay District,15-19 years,Male,2013,408,
South Waikato District,60-64 years,Male,2013,588,
Whau Local Board Area,45-49 years,Female,2013,2646,
Grey District,35-39 years,Female,2013,414,
Central Hawke's Bay District,95-99 years,Male,2013,3,
Orakei Local Board Area,35-39 years,Female,2013,2970,
Chatham Islands Territory,60-64 years,Female,2013,24,
Taupo District,50-54 years,Female,2013,1311,
Hamilton City,35-39 years,Male,2013,4401,
Hibiscus and Bays Local Board Area,35-39 years,Female,2013,2820,
Rangitikei District,95-99 years,Female,2013,6,
Kaipatiki Local Board Area,95-99 years,Male,2013,18,
Gore District,20-24 years,Female,2013,300,
South Waikato District,15-19 years,Female,2013,705,
Western Bay of Plenty District,40-44 years,Male,2013,1371,
Stratford District,35-39 years,Female,2013,282,
Central Otago District,65-69 years,Female,2013,708,
New Plymouth District,65-69 years,Female,2013,1929,
Otara-Papatoetoe Local Board Area,45-49 years,Female,2013,2400,
Waipa District,65-69 years,Male,2013,1137,
Wellington Region,30-34 years,Male,2013,15207,
Otago Region,20-24 years,Female,2013,9903,
Mackenzie District,30-34 years,Female,2013,210,
Canterbury Region,10-14 years,Male,2013,17340,
Great Barrier Local Board Area,5-9 years,Male,2013,24,
Dunedin City,55-59 years,Male,2013,3948,
South Taranaki District,35-39 years,Male,2013,744,
Buller District,100 years and over,Male,2013,0,
New Plymouth District,30-34 years,Male,2013,2049,
Rotorua District,40-44 years,Female,2013,2505,
Southland Region,30-34 years,Male,2013,2742,
Kaipara District,85-89 years,Male,2013,105,
Wellington Region,45-49 years,Female,2013,18042,
Waikato District,30-34 years,Female,2013,1752,
Christchurch City,90-94 years,Female,2013,1398,
Rotorua District,90-94 years,Male,2013,87,
Palmerston North City,55-59 years,Male,2013,2082,
Taranaki Region,85-89 years,Male,2013,615,
Waikato Region,60-64 years,Female,2013,11958,
Far North District,25-29 years,Female,2013,1335,
Buller District,70-74 years,Female,2013,213,
Napier City,5-9 years,Female,2013,1923,
Taranaki Region,15-19 years,Male,2013,3519,
Westland District,55-59 years,Male,2013,441,
Kaipara District,0-4 years,Male,2013,645,
Henderson-Massey Local Board Area,50-54 years,Female,2013,3534,
Hibiscus and Bays Local Board Area,25-29 years,Female,2013,1953,
Horowhenua District,70-74 years,Female,2013,915,
New Plymouth District,0-4 years,Male,2013,2646,
Papakura Local Board Area,20-24 years,Male,2013,1650,
Manawatu District,75-79 years,Male,2013,393,
Wellington City,0-4 years,Male,2013,5859,
Rangitikei District,95-99 years,Male,2013,3,
Napier City,50-54 years,Male,2013,1959,
Central Hawke's Bay District,35-39 years,Female,2013,378,
Horowhenua District,5-9 years,Male,2013,948,
Waitomo District,90-94 years,Male,2013,12,
Rangitikei District,15-19 years,Female,2013,528,
Napier City,45-49 years,Male,2013,1809,
Thames-Coromandel District,40-44 years,Male,2013,807,
Taupo District,35-39 years,Female,2013,1062,
"Total, Territorial Authority areas",75-79 years,Female,2013,58287,
Horowhenua District,75-79 years,Male,2013,651,
Orakei Local Board Area,10-14 years,Female,2013,2394,
Albert-Eden Local Board Area,35-39 years,Female,2013,3804,
Queenstown-Lakes District,50-54 years,Female,2013,1287,
Manurewa Local Board Area,40-44 years,Male,2013,2673,
Southland District,70-74 years,Male,2013,681,
Maungakiekie-Tamaki Local Board Area,55-59 years,Male,2013,1722,
Waitakere Ranges Local Board Area,15-19 years,Male,2013,1635,
Wellington City,30-34 years,Female,2013,8118,
Hibiscus and Bays Local Board Area,70-74 years,Male,2013,1890,
Christchurch City,45-49 years,Male,2013,11913,
Marlborough District,80-84 years,Male,2013,519,
Waipa District,80-84 years,Female,2013,606,
Otorohanga District,90-94 years,Male,2013,9,
West Coast Region,80-84 years,Female,2013,354,
Rodney Local Board Area,60-64 years,Female,2013,1857,
Nelson Region,70-74 years,Female,2013,1050,
Northland Region,35-39 years,Female,2013,4437,
Hawke's Bay Region,5-9 years,Female,2013,5373,
Auckland,40-44 years,Male,2013,50394,
Hastings District,0-4 years,Male,2013,2724,
Invercargill City,100 years and over,Male,2013,3,
Marlborough District,65-69 years,Male,2013,1638,
Ashburton District,50-54 years,Female,2013,1101,
Howick Local Board Area,35-39 years,Female,2013,4452,
Westland District,15-19 years,Female,2013,237,
Waipa District,90-94 years,Male,2013,63,
Invercargill City,30-34 years,Male,2013,1437,
Rotorua District,35-39 years,Female,2013,2301,
Tauranga City,10-14 years,Female,2013,3789,
Kaikoura District,20-24 years,Female,2013,132,
Manawatu District,85-89 years,Male,2013,114,
Albert-Eden Local Board Area,95-99 years,Female,2013,96,
Whakatane District,25-29 years,Male,2013,675,
Stratford District,65-69 years,Male,2013,228,
Manawatu District,75-79 years,Female,2013,411,
Kaipatiki Local Board Area,15-19 years,Male,2013,2715,
Invercargill City,20-24 years,Female,2013,1737,
Manawatu-Wanganui Region,75-79 years,Male,2013,3228,
Auckland Region,30-34 years,Female,2013,52656,
Waiheke Local Board Area,45-49 years,Male,2013,327,
Manurewa Local Board Area,30-34 years,Female,2013,3012,
Nelson City,95-99 years,Male,2013,9,
Stratford District,40-44 years,Female,2013,315,
Waimate District,100 years and over,Male,2013,0,
Devonport-Takapuna Local Board Area,35-39 years,Female,2013,1977,
Upper Hutt City,50-54 years,Male,2013,1533,
Hawke's Bay Region,15-19 years,Male,2013,5418,
Waitomo District,30-34 years,Male,2013,255,
Whakatane District,50-54 years,Male,2013,1152,
Tasman District,45-49 years,Male,2013,1842,
Kaipara District,30-34 years,Female,2013,444,
Puketapapa Local Board Area,30-34 years,Male,2013,1863,
Papakura Local Board Area,40-44 years,Male,2013,1446,
Gore District,40-44 years,Female,2013,396,
Marlborough District,10-14 years,Male,2013,1281,
Marlborough District,95-99 years,Male,2013,12,
Upper Hutt City,25-29 years,Male,2013,1056,
Timaru District,55-59 years,Male,2013,1545,
Howick Local Board Area,10-14 years,Female,2013,4299,
Upper Harbour Local Board Area,0-4 years,Female,2013,1659,
Tasman Region,45-49 years,Male,2013,1842,
Otara-Papatoetoe Local Board Area,40-44 years,Male,2013,2337,
Area outside territorial authority,85-89 years,Male,2013,0,
Tauranga City,25-29 years,Male,2013,2949,
Christchurch City,10-14 years,Female,2013,9990,
Masterton District,85-89 years,Male,2013,156,
Papakura Local Board Area,95-99 years,Female,2013,18,
Maungakiekie-Tamaki Local Board Area,65-69 years,Female,2013,1191,
Waikato Region,50-54 years,Male,2013,13707,
Invercargill City,20-24 years,Male,2013,1686,
Horowhenua District,25-29 years,Male,2013,543,
Wellington City,20-24 years,Female,2013,10881,
Nelson Region,20-24 years,Female,2013,1302,
Waikato District,70-74 years,Male,2013,993,
Tararua District,45-49 years,Female,2013,618,
Whakatane District,80-84 years,Female,2013,345,
Southland District,60-64 years,Male,2013,1137,
West Coast Region,100 years and over,Female,2013,3,
Selwyn District,5-9 years,Male,2013,1812,
Queenstown-Lakes District,60-64 years,Female,2013,1347,
Masterton District,5-9 years,Male,2013,792,
Orakei Local Board Area,80-84 years,Female,2013,933,
Clutha District,0-4 years,Female,2013,576,
Marlborough District,40-44 years,Female,2013,1533,
Clutha District,80-84 years,Female,2013,183,
Waitemata Local Board Area,0-4 years,Female,2013,1530,
Matamata-Piako District,25-29 years,Female,2013,840,
Mackenzie District,40-44 years,Male,2013,210,
Upper Harbour Local Board Area,10-14 years,Female,2013,1821,
Central Otago District,20-24 years,Male,2013,435,
New Plymouth District,75-79 years,Male,2013,1041,
Dunedin City,30-34 years,Female,2013,3432,
Tauranga City,65-69 years,Female,2013,3444,
Taupo District,60-64 years,Male,2013,1119,
Napier City,70-74 years,Male,2013,1191,
Chatham Islands Territory,70-74 years,Male,2013,12,
Southland Region,100 years and over,Male,2013,3,
Albert-Eden Local Board Area,60-64 years,Male,2013,1911,
Central Hawke's Bay District,5-9 years,Female,2013,414,
